symbol,sector
ADANIENT,MISCELLANEOUS
ADANIPORTS,MISCELLANEOUS
APOLLOHOSP,MISCELLANEOUS
ASIANPAINT,PAINTS
AXISBANK,BANKING
BAJAJ-AUTO,AUTOMOBILES
BAJAJFINSV,FINANCE
BAJFINANCE,FINANCE
BEL,DEFENCE
BHARTIARTL,TELECOM
BPCL,ENERGY
BRITANNIA,FOOD & TOBACCO
CIPLA,PHARMACEUTICALS
COALINDIA,MINING
DRREDDY,PHARMACEUTICALS
EICHERMOT,AUTOMOBILES
GRASIM,TEXTILES
HCLTECH,SOFTWARE
HDFCBANK,BANKING
HDFCLIFE,INSURANCE
HEROMOTOCO,AUTOMOBILES
HINDALCO,ALUMINIUM
HINDUNILVR,FMCG
ICICIBANK,BANKING
INDUSINDBK,BANKING
INFY,SOFTWARE
ITC,FOOD & TOBACCO
JSWSTEEL,STEEL
KOTAKBANK,BANKING
LT,ENGINEERING
M&M,AUTOMOBILES
MARUTI,AUTOMOBILES
NESTLEIND,FOOD & TOBACCO
NTPC,POWER
ONGC,ENERGY
POWERGRID,POWER
RELIANCE,ENERGY
SBILIFE,INSURANCE
SBIN,BANKING
SHRIRAMFIN,FINANCE
SUNPHARMA,PHARMACEUTICALS
TATACONSUM,FMCG
TATAMOTORS,AUTOMOBILES
TATASTEEL,STEEL
TCS,SOFTWARE
TECHM,SOFTWARE
TITAN,RETAILING
TRENT,RETAILING
ULTRACEMCO,CEMENT
WIPRO,SOFTWARE
